Vidushi Vijayvergia,Lucknow,Authentic Perfumes and Attars (Isak Fragrances),Deal,₹50 lakhs8% Equity,₹50 lakhs50% Equity,Peyush
"Ramesh, Chandrakantbhai, Jay",Ahmedabad,Automated Cradle(Julaa Automation),No Deal,₹50 lakhs10% Equity,No Offer,
Ranodeep and Vijaya Kumar,Kolkata,Handmade Products(Rare Planet),Deal,₹65 lakhs1% Equity,₹65 lakhs3% Equity,Namita
Bhupinder Madaan,Ahmedabad,Coffee (Theka Coffee),No Deal,₹50 lakhs10% Equity,No Offer,
Nihaal Singh Adarsh,Pune,Cov-tech Ventilation(Watt Technovations),Deal,₹101 10% Equity,₹1014% Equity,"Anupam, Peyush, Ghazal, Namita"
"Shreyash, Konark, Aakarsh, Anant, Udit, Bhavya",Noida,Home Automation Systems(Aliste Technologies),No Deal,₹60 lakhs5% Equity,₹10 lakhs10% Equity ₹50 lakhsDebt,Anupam
"Ravi, Deepak, Shilpa",Delhi,Insurance Company(Insurance Samadhan),Deal,₹1 crore1% Equity,₹1 crore4% Equity,Peyush
"Vishal, Malvika, Jaywant",Pune,Milk and Organic Products(Humpy A2),Deal,₹75 lakhs4% Equity,₹1 crore15% Equity,"Peyush, Ghazal, Vineeta"
Zamzeer and Jameela Ruhi,Mumbai,Kunafa Dessert(Kunafa World),No Deal,₹90 lakhs5% Equity,No Offer,
Gaurav and Sharad Ashani,Mumbai,Safety Fan Rod (Gold Life),Deal,₹50 lakhs5% Equity,₹50 lakhs30% Equity,"Peyush, Ghazal, Vineeta"
Sairaj Gaurish Dhond,Goa,Jackfruit Products(Wakao Foods),Deal,₹75 lakhs5% Equity,₹75 lakhs21% Equity,"Ghazal, Vineeta, Namita"
Chirag and Sneha,Mumbai,Stainless Steel Products(PDD Falcon),No Deal,₹75 lakhs3% Equity,₹75 lakhs21% Equity,Ghazal
Soham and Aamir,Mumbai,OTT & Live TV Channels (PlayboxTV),No Deal,₹1 crore3.5% Equity,No Offer,
Rohit Warrier,Pune,Drinking Shields(Sippline),No Deal,₹75 lakhs15% Equity,No Offer,
Arvind and Suhail,Mumbai,Kabaddi League (Kabaddi Adda),Deal,₹80 lakhs1% Equity,₹80 lakhs6% Equity,"Namita, Vineeta"
Nidhi and Anuj,Mumbai,Fresh Flowers (Shades of Spring),No Deal,₹3 crore1% Equity,No Offer,
Mayank Pareekh,Bangalore,Scholarship Provider App(Scholify),No Deal,₹50 lakhs7.5% Equity,No Offer,
Madhu and Shikha Shah,Varanasi,Decor Items Made From Scrap(ScrapShala),No Deal,₹50 lakhs10% Equity,No Offer,
Nikky and Rashmi Jha,Kanpur,Cold Storage Device(Sabjikothi),No Deal,₹60 lakhs2.5% Equity,No Offer,
"Sandeep, Abhilesh, Ramanath",Mumbai,Ayurvedic Wellness App (Ayurythm),Deal,₹75 lakhs2% Equity,₹75 lakhs2.68% Equity,Aman
Kowshik and Sreepriya,Coimbatore,Smartphone Compatible Locks(Astrix Engineering Pvt. Ltd),No Deal,₹75 lakhs3% Equity,No Offer,
Ashwini and Aditi,Mumbai,Silver Rings (Thea and Sid),No Deal,₹80 lakhs7% Equity,No Offer,
Prashant and Karan,Mumbai,Holobyk(ExperientialEtc),No Deal,₹2 crore4% Equity,No Offer,
Sanmati and Harshit,Mumbai,Reward based Fitness App(GrowFitter),Deal,₹50 lakhs1% Equity,₹50 lakhs2% Equity,Aman
Yash and Alisha Nagarsheth,Ahmedabad,Eye-screening Devices(C3 Med-Tech),No Deal,₹35 lakhs6% Equity,₹35 lakhs33.33% Equity,Peyush
Rajeev and Trishla Surana,Mumbai,Footwear(Colour Me Mad),Deal,₹40 lakhs10% Equity,₹40 lakhs25% Equity,Namita
Vikram and Minakshi,Mumbai,Fermented Drinks(Mavi’s),No Deal,₹40 lakhs5% Equity,No Offer,
"Shwetank, Anant, Ayush, Aman",New Delhi,Sportswear (Tweak Labs),Deal,₹40 lakhs2% Equity,₹60 lakhs10% Equity,"Anupam, Peyush, Ashneer"
Pulkit and Inderjit,Mumbai,Human Proxy (Proxgy),Deal,₹35 lakhs1% Equity,₹1 crore10% Equity,"Peyush, Ashneer"
Advaith and Aditya,Pune,Bacon Jams (Nomad Food Project),Deal,₹40 lakhs10% Equity,₹40 lakhs20% Equity,"Vineeta, Namita, Ghazal, Ashneer"
Niti Singhal,Mumbai,Reversible and Convertible Outfits(Twee In One),No Deal,₹30 lakhs7.5% Equity,No Offer,
Madhavi and Satish Datwani,Mumbai,Plant-based Beverages(Green Protein),No Deal,₹60 lakhs2% Equity,₹60 lakhs15% Equity,"Aman, Vineeta, Ghazal"
Sanandan Sudhir,Ahmedabad,Smart Cooking Device (On2Cook),No Deal,₹1 crore1% Equity,No Offer,
"Supreet, Manish, Rupali",Mumbai,Washroom Finder App(Woloo),No Deal,₹50 lakhs4% Equity,₹25 lakhs10% Equity₹25 lakhsDebt,Namita
Anubhav Jain,Modinagar,Lemon Shikanji(Jain Shikanji),Deal,₹40 lakhs8% Equity,₹40 lakhs30% Equity,"Aman, Anupam, Ashneer, Vineeta"
"Pankaj, Aashna, Suresh",Gurugram,Carenting for Elders(Elcare),No Deal,₹1 crore2.5% Equity,No Offer,
